target,model,rmse_mean,directional_accuracy_mean,n_samples
y_BTC-USD,baseline_zero,0.0233706510692567,0.0,1500
y_BTC-USD,rf,0.0240361779433488,0.4826666666666666,1500
y_BTC-USD,knn,0.0252203479153699,0.4946666666666666,1500
y_BTC-USD,baseline_last,0.03349788064413,0.4933333333333333,1500
y_BTC-USD,mlp,0.0360172609042712,0.4753333333333333,1500
y_BTC-USD,ridge,0.0471887112313881,0.4673333333333333,1500
y_GLD,baseline_zero,0.01168634575814,0.0,823
y_GLD,rf,0.0118340634591337,0.5094850551731891,823
y_GLD,knn,0.0119825143279547,0.4363616795913956,823
y_GLD,baseline_last,0.0152408227919874,0.3187361858447051,823
y_GLD,ridge,0.0256333909275882,0.4495346548176162,823
y_GLD,mlp,0.0316974138372037,0.5036658754392019,823
y_TLT,baseline_zero,0.0073000618233073,0.0035314489432136,823
y_TLT,rf,0.0073534076106645,0.5424672029053368,823
y_TLT,knn,0.0079374087933537,0.4832852846656091,823
y_TLT,baseline_last,0.0096391102850792,0.3473534052017824,823
y_TLT,mlp,0.0317348732351321,0.5159486941961586,823
y_TLT,ridge,0.0327168564415851,0.4700585826402256,823
y_UUP,baseline_zero,0.0044089311675435,0.0286517418079284,823
y_UUP,rf,0.0044740959689597,0.5139594506191869,823
y_UUP,knn,0.004601648937429,0.50561208606594,823
y_UUP,baseline_last,0.0058875336499423,0.3163699308750018,823
y_UUP,ridge,0.0137925460001989,0.4499136453832195,823
y_UUP,mlp,0.0285083561754081,0.4950323388376126,823
y_XLB,baseline_zero,0.0112356316226326,0.0119449961802903,823
y_XLB,rf,0.0118517831918983,0.3986669503728327,823
y_XLB,knn,0.0118736643906375,0.490097870340771,823
y_XLB,baseline_last,0.0151815794194969,0.3458560526557484,823
y_XLB,mlp,0.0295012882463318,0.4795357362051073,823
y_XLB,ridge,0.0388488100259048,0.451701231169791,823
y_XLC,baseline_zero,0.009985373387897,0.0067335907335907,823
y_XLC,rf,0.0102856877677283,0.5531779060612732,823
y_XLC,knn,0.010687931005215,0.4754318295667181,823
y_XLC,baseline_last,0.0128300969132568,0.3893064368008587,823
y_XLC,mlp,0.0306461591118201,0.48649947262929,823
y_XLC,ridge,0.0416915922252662,0.4808690301560483,823
y_XLE,baseline_zero,0.0142360083153374,0.011372264126828,823
y_XLE,rf,0.0147487655867738,0.5069244536283076,823
y_XLE,knn,0.0147915150515334,0.4764126842985869,823
y_XLE,baseline_last,0.0186272145487794,0.3608439582465952,823
y_XLE,mlp,0.0321924887178446,0.504334065895932,823
y_XLE,ridge,0.0410893134166333,0.5109376985781651,823
y_XLF,baseline_zero,0.0111594716929655,0.010453781512605,823
y_XLF,rf,0.0114935552814725,0.469504277511884,823
y_XLF,knn,0.011754602231038,0.4816213436243862,823
y_XLF,baseline_last,0.0142254569312567,0.3241467854409031,823
y_XLF,mlp,0.0305531741631546,0.4815347338460928,823
y_XLF,ridge,0.0353964751095192,0.4572674691036759,823
y_XLI,baseline_zero,0.0105122593240069,0.0,823
y_XLI,rf,0.0108421389079392,0.4473913378948876,823
y_XLI,knn,0.0112113840695856,0.5077713642490519,823
y_XLI,baseline_last,0.0137826148748528,0.3046477700007111,823
y_XLI,mlp,0.0317638834840453,0.4807445560270104,823
y_XLI,ridge,0.0324230395956207,0.4510578412571313,823
y_XLK,baseline_zero,0.0151066318702666,0.0,823
y_XLK,rf,0.0154744289467148,0.4680253546992897,823
y_XLK,knn,0.0157247812200919,0.4802654805367787,823
y_XLK,baseline_last,0.0201914787041802,0.3493916258333094,823
y_XLK,mlp,0.0337117030634266,0.464754308963741,823
y_XLK,ridge,0.0485376859102177,0.495132721345196,823
y_XLP,baseline_zero,0.0080375106277312,0.0143265983509391,823
y_XLP,knn,0.0081325660407685,0.4753992635980466,823
y_XLP,rf,0.0082439815105862,0.4792203294150555,823
y_XLP,baseline_last,0.0106641720473542,0.2976059781364041,823
y_XLP,ridge,0.0277037379431664,0.4641931860009953,823
y_XLP,mlp,0.0300887483292708,0.4987768662342698,823
y_XLRE,baseline_zero,0.0099546676191726,0.020133933570039,823
y_XLRE,rf,0.0102895494756859,0.5293094051745166,823
y_XLRE,knn,0.0106377790404456,0.4986380921700394,823
y_XLRE,baseline_last,0.0135873862255798,0.3057789906816276,823
y_XLRE,mlp,0.032159200012729,0.5056437130144027,823
y_XLRE,ridge,0.0406004331281908,0.4534006794721804,823
y_XLU,baseline_zero,0.0099258479017048,0.0087321878594698,823
y_XLU,rf,0.0101755284158684,0.4988362714417481,823
y_XLU,knn,0.0102794022166652,0.525855758856773,823
y_XLU,baseline_last,0.0129041708411758,0.3444115695540645,823
y_XLU,mlp,0.0341612965909243,0.4934196454561567,823
y_XLU,ridge,0.0342390483471221,0.4606843954278031,823
y_XLV,baseline_zero,0.0098573370333621,0.0036007130124777,823
y_XLV,knn,0.0100859631057425,0.4942944043988668,823
y_XLV,rf,0.0102046222312559,0.4141235515434298,823
y_XLV,baseline_last,0.0128651426763523,0.3794216179312528,823
y_XLV,ridge,0.0300956139157199,0.4765657569070348,823
y_XLV,mlp,0.0317832570492975,0.4727302224249485,823
y_XLY,baseline_zero,0.013606449757084,0.0,823
y_XLY,rf,0.01398375370753,0.5001904800601555,823
y_XLY,knn,0.0142308716102894,0.457805091846674,823
y_XLY,baseline_last,0.018868324146255,0.28946604401219,823
y_XLY,mlp,0.0349191325816634,0.4915335488935894,823
y_XLY,ridge,0.0488908931807354,0.4642067054739467,823
