model,strategy,threshold,cost_bps,n_targets,avg_cum_return,avg_sharpe,avg_hit_rate,avg_active_rate,avg_mean_ret,avg_std_ret
mlp,long_short,0.001,1.0,15,-0.0669219638074496,-0.0860220107035407,0.4692979073849062,0.9579078169299312,-6.097332686872787e-05,0.0119477458210446
mlp,long_short,0.0005,1.0,15,-0.078948663461248,-0.0893212134408679,0.4796248953692453,0.9792334818415012,-7.420970543790622e-05,0.0120602854132135
rf,long_short,0.002,1.0,15,-0.0073043079573869,-0.099005114360445,0.1810038612123667,0.3635582557040637,-3.7591403475752456e-05,0.0074454937498476
mlp,long_short,0.003,1.0,15,-0.0296946480895792,-0.1030337292176667,0.4309269069798839,0.8784761981909005,-4.568009957405017e-05,0.0114072430371957
rf,long_short,0.001,1.0,15,-0.0114202156655614,-0.1089073261285762,0.3090037532064263,0.6310427433508843,-9.091684090564454e-05,0.0098087858255915
mlp,long_short,0.002,1.0,15,-0.0308540738478466,-0.1116807787331312,0.4494539759686783,0.917780531929256,-6.091610819796971e-05,0.0116765348847652
mlp,long_short,0.005,1.0,15,-0.0139976572839096,-0.1202975075240806,0.3932405022276225,0.7993062238423113,-4.583721842905948e-05,0.0107272941648569
knn,long_short,0.005,1.0,15,-0.0749419785213554,-0.1657237647494036,0.074805616308897,0.1328454705008775,-0.000104141585846,0.0047991643844262
knn,long_short,0.001,1.0,15,-0.2389147151132139,-0.3699035087932172,0.3609397596867827,0.7328703118671527,-0.0002985279863916,0.0109163363190864
knn,long_short,0.0,1.0,15,-0.2575513862663268,-0.3952121560632602,0.4851446469555825,1.0,-0.0003330849693738,0.0122139429569867
knn,long_short,0.0005,1.0,15,-0.2561516132186148,-0.4011436337903766,0.4243956257594167,0.8657584447144593,-0.0003230948471057,0.0115924761528809
baseline_last,long_short,0.005,1.0,15,-0.2199023142674388,-0.5231991319267568,0.2089668691778047,0.4225760496827325,-0.0003170258473744,0.0093086353677649
knn,long_short,0.003,1.0,15,-0.2133343431910895,-0.5264588862540495,0.1698653705953827,0.3341966248143648,-0.0002915012800847,0.0079140084852492
knn,long_short,0.002,1.0,15,-0.2632666448799428,-0.6114925349915313,0.2500590252463885,0.5063840691238018,-0.0003475956714857,0.0094170203385424
baseline_last,long_short,0.003,1.0,15,-0.2961263282431451,-0.647042719626565,0.2610046712569191,0.5400539489671932,-0.0004212423329035,0.0101252476212074
baseline_last,long_short,0.002,1.0,15,-0.3235097197257349,-0.7099613343605579,0.2924587552315377,0.6079005265289591,-0.0004531461398141,0.010515931742199
baseline_last,long_short,0.001,1.0,15,-0.3618904568775069,-0.8052305123885386,0.3187729985149183,0.6697527744025922,-0.0004896526090468,0.0108763722447393
ridge,long_short,0.0005,1.0,15,-0.3924838048808179,-0.8136273037271542,0.4550411232617793,0.9735552855407048,-0.0005705422551448,0.0120315326607297
ridge,long_short,0.0,1.0,15,-0.3972685642879315,-0.8245121891811077,0.4668785203186175,1.0,-0.0005774568254598,0.0122026826693281
ridge,long_short,0.001,1.0,15,-0.3982125425268533,-0.8396205642166424,0.4428116106385851,0.9497808559470772,-0.0005880210688041,0.0118536566909616
baseline_last,long_short,0.0005,1.0,15,-0.3822567020973882,-0.9011915825908166,0.3322283245578507,0.7047244498447415,-0.0005458345665562,0.0110130992523029
baseline_last,long_short,0.0,1.0,15,-0.3779604403705573,-0.9104811465415532,0.3451610638585122,0.7327663021466181,-0.0005564265665495,0.011087886413535
ridge,long_short,0.003,1.0,15,-0.4145946291949753,-0.9359837578888432,0.3969122181719994,0.8510235722964763,-0.0006281418673136,0.0112254351685195
ridge,long_short,0.005,1.0,15,-0.3988066658331318,-0.9390334544951516,0.3548042662346429,0.7615058188200351,-0.0006053739417736,0.0106464165787827
ridge,long_short,0.002,1.0,15,-0.4189786316896565,-0.9425301194497492,0.4182092075064129,0.8977408937491561,-0.0006361680086456,0.0115400746958118
baseline_zero,long_short,0.0,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.0005,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.001,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.002,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.003,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.005,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
knn,long_flat,0.005,3.0,15,-0.025284435725424,0.2653058409170711,0.0239227757526663,0.0309027136492507,-1.833918065729185e-05,0.0016526219647433
mlp,long_flat,0.0,3.0,15,0.1161252125245977,0.1622776112988299,0.2690371270419873,0.5085370055353045,0.0001111364847479,0.0085449756116269
mlp,long_flat,0.001,3.0,15,0.1104739503728127,0.1514343925284529,0.2583782368030241,0.4876973673552046,0.0001021163551627,0.0083649909927514
mlp,long_flat,0.0005,3.0,15,0.0887719305307661,0.1346136303284529,0.2634083974618604,0.4984007020386121,8.940461187631021e-05,0.0084313803429475
rf,long_flat,0.0,3.0,15,0.1289170459165707,0.1231553831410714,0.2922452274875118,0.5590815714864318,6.609183284594348e-05,0.0087611053306513
mlp,long_flat,0.002,3.0,15,0.0952542044655557,0.1037360890323444,0.2480354799513973,0.4680857027136492,7.634268662603841e-05,0.0082264942839876
mlp,long_flat,0.003,3.0,15,0.0982649977122249,0.070667340513403,0.2379228297556365,0.4487851491832051,6.698735786553305e-05,0.0080963181368618
rf,long_flat,0.0005,3.0,15,0.0795677869931512,0.0705206776348398,0.2443343323882813,0.4606755231537734,4.152999104945069e-05,0.0079015872935959
rf,long_flat,0.003,3.0,15,0.1169378938376151,0.0235267970835523,0.0707805589307411,0.1215057108140947,4.401737126177764e-05,0.0041367693124822
knn,long_flat,0.0005,3.0,15,-0.0148112667747802,-0.0223376460854093,0.1652346159038747,0.3032101525583907,-1.0856720321051749e-05,0.0060848264572681
mlp,long_flat,0.005,3.0,15,0.0521966362866212,-0.0293515112901013,0.217297529364115,0.4095281220467126,1.4798355965499432e-05,0.0076075759423418
knn,long_flat,0.001,3.0,15,-0.011422255862625,-0.06338941313227,0.1307604158228702,0.2374782773052518,-1.3238349937497036e-05,0.00542707482272
knn,long_flat,0.0,3.0,15,-0.0135683287778263,-0.0705640745421411,0.1989826380450924,0.3701363034966923,-1.66284437130513e-05,0.0066403258350862
rf,long_flat,0.005,3.0,15,0.0727162528988055,-0.0769244817334393,0.0302554340488726,0.0426841636289996,2.354080527854056e-05,0.0022111482379648
rf,long_flat,0.002,3.0,15,0.0256732182055666,-0.1122704060428243,0.1179652760901849,0.2170751451329823,-6.794597945595194e-06,0.0054401301361461
rf,long_flat,0.001,3.0,15,0.0231765332990448,-0.1145248828987584,0.1934183880113406,0.3650444174429593,-1.4852842425630743e-05,0.0071697176024568
baseline_last,long_flat,0.005,3.0,15,-0.0372669676386425,-0.2096559377941434,0.1217036857027136,0.217852247873633,-4.258732489571253e-05,0.00577499644587
baseline_last,long_flat,0.003,3.0,15,-0.0605537837425488,-0.2905425821870436,0.1516394761711894,0.2786069933846361,-9.209469916669047e-05,0.0063415725669342
baseline_last,long_flat,0.002,3.0,15,-0.0674678004501122,-0.3823180106013046,0.1686353449439719,0.315423140272715,-0.0001174052407341,0.0067369338116095
ridge,long_flat,0.0,3.0,15,-0.140221714936608,-0.4116229554425833,0.2525595247738625,0.496771270419873,-0.000159759245524,0.0088094018501448
knn,long_flat,0.002,3.0,15,-0.0803562419925514,-0.4139195721038245,0.0748666396651815,0.1381625489401917,-9.889480844288203e-05,0.0041963824229366
ridge,long_flat,0.0005,3.0,15,-0.1427564125754306,-0.4187717506724203,0.2462383151073309,0.4838127176994735,-0.000162862720271,0.0086674137707687
ridge,long_flat,0.001,3.0,15,-0.1656355824898965,-0.4725769545593886,0.2398361009855542,0.4727903874713109,-0.0001945843313432,0.0085657555979574
knn,long_flat,0.003,3.0,15,-0.0761927657345107,-0.4812745205242738,0.0479380585932226,0.0822465775617658,-8.119880215142596e-05,0.0031118417028394
baseline_last,long_flat,0.001,3.0,15,-0.1008317362126709,-0.4822657965871992,0.1828089644930471,0.3480765222087215,-0.0001468771267288,0.007063496315726
baseline_last,long_flat,0.0005,3.0,15,-0.1139300740212471,-0.5021898117223812,0.1900656676117186,0.364408586472256,-0.0001638824655069,0.007151105334285
ridge,long_flat,0.002,3.0,15,-0.1838616068773492,-0.551347400058693,0.2270553260429323,0.4473621709194005,-0.0002231081749145,0.0083503558975299
baseline_last,long_flat,0.0,3.0,15,-0.1213600622592527,-0.5583143204980208,0.194973241528284,0.3773542324827865,-0.0001827689377881,0.0071950506688644
ridge,long_flat,0.003,3.0,15,-0.202544937376267,-0.6086875006442353,0.2148860267314702,0.4239067368705279,-0.0002493912840063,0.0080788761220775
ridge,long_flat,0.005,3.0,15,-0.2362579985171893,-0.755504134561298,0.1916943971918455,0.379308437964088,-0.0003048756313966,0.0076677226711499
baseline_zero,long_flat,0.0,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.0005,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.001,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.002,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.003,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.005,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
rf,long_short,0.005,3.0,15,0.066239461183511,0.122291597337381,0.0417573106520858,0.0669452679897394,3.847971584865917e-05,0.0033475958600959
rf,long_short,0.003,3.0,15,0.0160708852671481,-0.1250565971378883,0.1048761981909005,0.2017723774807614,-2.770522517224848e-05,0.0056380230171783
knn,long_short,0.005,3.0,15,-0.105243924158936,-0.2942732972942418,0.074805616308897,0.1328454705008775,-0.0001458920381209,0.0048020275540776
rf,long_short,0.0005,3.0,15,-0.1136209694923947,-0.31362104519855,0.3982068313757256,0.8080926150938301,-0.0002526796129249,0.0110620998717812
mlp,long_short,0.0,3.0,15,-0.1949357768333449,-0.3392437313756637,0.4902551100310517,1.0,-0.000237608316178,0.0122156489314085
rf,long_short,0.0,3.0,15,-0.1260046353867301,-0.36564655793744,0.4875848251653841,1.0,-0.0003276756839755,0.0121943316034595
rf,long_short,0.002,3.0,15,-0.1025063483439704,-0.3665445310686157,0.1810038612123667,0.3635582557040637,-0.000148129100249,0.0074493180374574
mlp,long_short,0.001,3.0,15,-0.2095573118167797,-0.3788067836442662,0.4692979073849062,0.9579078169299312,-0.0002530482289883,0.0119511374802016
mlp,long_short,0.0005,3.0,15,-0.2195902775962379,-0.3801376857372057,0.4796248953692453,0.9792334818415012,-0.0002667753649491,0.0120638430296431
mlp,long_short,0.003,3.0,15,-0.1802511108055572,-0.4067090422731475,0.4309269069798839,0.8784761981909005,-0.0002360349854927,0.0114106630673202
mlp,long_short,0.002,3.0,15,-0.1825250374520484,-0.4102875142425393,0.4494539759686783,0.917780531929256,-0.0002523058422333,0.0116795798979513
rf,long_short,0.001,3.0,15,-0.1406249796499573,-0.4168819851370079,0.3090037532064263,0.6310427433508843,-0.0002525144323731,0.0098129054378913
mlp,long_short,0.005,3.0,15,-0.1662728752486711,-0.4322689295469447,0.3932405022276225,0.7993062238423113,-0.0002310509783858,0.0107299542190808
knn,long_short,0.0,3.0,15,-0.3509814942459813,-0.6249863081741062,0.4851446469555825,1.0,-0.0004934564558056,0.0122220549153076
knn,long_short,0.001,3.0,15,-0.3283822707961635,-0.6275523811694481,0.3609397596867827,0.7328703118671527,-0.0004494820244637,0.0109235745822641
knn,long_short,0.0005,3.0,15,-0.3477689229186012,-0.6447112604168531,0.4243956257594167,0.8657584447144593,-0.0004810942638736,0.0116002045677007
knn,long_short,0.003,3.0,15,-0.2654193418505024,-0.7093980054943145,0.1698653705953827,0.3341966248143648,-0.0003798622575385,0.0079198864951026
baseline_last,long_short,0.005,3.0,15,-0.301545853605802,-0.7882503573169384,0.2089668691778047,0.4225760496827325,-0.0004532025126909,0.0093138652070387
knn,long_short,0.002,3.0,15,-0.3329870796799896,-0.8401065660830156,0.2500590252463885,0.5063840691238018,-0.0004695310515316,0.009425451537381
baseline_last,long_short,0.003,3.0,15,-0.3861951726098033,-0.9472995083781316,0.2610046712569191,0.5400539489671932,-0.00058621772375,0.0101310279143637
baseline_last,long_short,0.002,3.0,15,-0.4184987451435699,-1.0252917089277906,0.2924587552315377,0.6079005265289591,-0.0006324802507902,0.0105205218447396
ridge,long_short,0.0005,3.0,15,-0.4863637505189255,-1.116859043561433,0.4550411232617793,0.9735552855407048,-0.0007727705148991,0.0120333226101196
ridge,long_short,0.0,3.0,15,-0.4904007020115399,-1.121711630920541,0.4668785203186175,1.0,-0.0007794969820684,0.0122044885180533
baseline_last,long_short,0.001,3.0,15,-0.4573586016686646,-1.1283750896686433,0.3187729985149183,0.6697527744025922,-0.0006799661934939,0.0108803397588472
ridge,long_short,0.001,3.0,15,-0.4909280941425477,-1.1474709027503167,0.4428116106385851,0.9497808559470772,-0.0007897340538182,0.0118549603146198
baseline_last,long_short,0.0005,3.0,15,-0.4775430014953815,-1.2292061166094497,0.3322283245578507,0.7047244498447415,-0.0007420986086785,0.0110164525653166
baseline_last,long_short,0.0,3.0,15,-0.4757148090147011,-1.2433453045704752,0.3451610638585122,0.7327663021466181,-0.0007564543780792,0.0110907501909863
ridge,long_short,0.003,3.0,15,-0.5020052723210175,-1.2526453139517004,0.3969122181719994,0.8510235722964763,-0.0008244165156193,0.0112263212778109
ridge,long_short,0.002,3.0,15,-0.5074588744897405,-1.256534236734978,0.4182092075064129,0.8977408937491561,-0.0008357262751503,0.0115413204434427
ridge,long_short,0.005,3.0,15,-0.4842540161234298,-1.2582530207106517,0.3548042662346429,0.7615058188200351,-0.00079258369471,0.0106471011425181
baseline_zero,long_short,0.0,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.0005,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.001,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.002,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.003,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_short,0.005,3.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
knn,long_flat,0.005,5.0,15,-0.034144036134847885,0.16097781689312315,0.023922775752666395,0.03090271364925071,-2.950198341144333e-05,0.001649738700795992
mlp,long_flat,0.0,5.0,15,0.024210617997470464,-0.044708105040684586,0.26903712704198735,0.5085370055353045,1.4638598964243202e-05,0.008546827205426382
mlp,long_flat,0.001,5.0,15,0.0189273120698356,-0.05799810645434025,0.25837823680302413,0.4876973673552046,6.146359212970706e-06,0.008366720037134458
mlp,long_flat,0.0005,5.0,15,-0.0005167606417176099,-0.07402504701455938,0.2634083974618604,0.49840070203861214,-6.881085437042075e-06,0.008433187653655872
rf,long_flat,0.0,5.0,15,0.036708626290902276,-0.08407526173061926,0.2922452274875118,0.5590815714864318,-2.950396572297787e-05,0.008764104940590158
mlp,long_flat,0.002,5.0,15,0.004464757755812521,-0.10890301622802741,0.24803547995139735,0.46808570271364924,-1.9444368862013435e-05,0.008227997773733764
rf,long_flat,0.003,5.0,15,0.06596040087956699,-0.1429952955387212,0.07078055893074119,0.12150571081409477,4.9926433017398084e-06,0.004138564706597314
mlp,long_flat,0.003,5.0,15,0.007030990801724491,-0.1453383409232532,0.23792282975563656,0.4487851491832051,-2.8383637139192262e-05,0.008098326019855169
rf,long_flat,0.0005,5.0,15,-0.008392834930986392,-0.16327229947398167,0.24433433238828134,0.46067552315377347,-5.3987524813921775e-05,0.007904392460755584
rf,long_flat,0.005,5.0,15,0.04914433236809358,-0.17673733377551873,0.03025543404887269,0.0426841636289996,8.511303455940323e-06,0.002212818577158643
knn,long_flat,0.0005,5.0,15,-0.078448044917724,-0.2445061166414675,0.16523461590387473,0.30321015255839073,-8.6453166925615e-05,0.006088548514177979
mlp,long_flat,0.005,5.0,15,-0.03250820783379892,-0.25051902988255825,0.21729752936411503,0.4095281220467126,-7.78675222578029e-05,0.007609597937944596
knn,long_flat,0.0,5.0,15,-0.08184608248663595,-0.28186185042737116,0.19898263804509247,0.3701363034966923,-9.671253713818971e-05,0.006644273358914851
knn,long_flat,0.001,5.0,15,-0.06942784230237274,-0.2926805755680385,0.13076041582287026,0.2374782773052518,-8.064747103915765e-05,0.005431524472687142
rf,long_flat,0.002,5.0,15,-0.03381295925684228,-0.32757512195868926,0.11796527609018496,0.21707514513298232,-6.93824418770115e-05,0.005443376995856365
rf,long_flat,0.001,5.0,15,-0.05447558220221333,-0.35333040243576813,0.19341838801134062,0.36504441744295935,-0.00010239278032221508,0.007173231274014287
baseline_last,long_flat,0.005,5.0,15,-0.09359304532093564,-0.4178979510351128,0.12170368570271364,0.21785224787363305,-0.00011108963892298404,0.005778925584621277
baseline_last,long_flat,0.003,5.0,15,-0.12734769890574252,-0.5288114429414391,0.15163947617118942,0.2786069933846361,-0.00017546426849300345,0.006345654081005254
knn,long_flat,0.002,5.0,15,-0.11633143829974468,-0.6068806577688937,0.07486663966518159,0.13816254894019173,-0.00014348763144814735,0.004203027664801872
ridge,long_flat,0.0,5.0,15,-0.21154053355556648,-0.6219548781276497,0.25255952477386256,0.49677127041987307,-0.00026075136649074653,0.008811751696550558
baseline_last,long_flat,0.002,5.0,15,-0.14129323054007928,-0.6286725612278686,0.1686353449439719,0.315423140272715,-0.0002085658617682736,0.006740523882369637
ridge,long_flat,0.0005,5.0,15,-0.21354819840857667,-0.6338738120160878,0.2462383151073309,0.4838127176994735,-0.00026373670434016815,0.008669604920858835
knn,long_flat,0.003,5.0,15,-0.0983668992834922,-0.6348163878405819,0.04793805859322263,0.08224657756176589,-0.00010915661503113433,0.003118171847812231
ridge,long_flat,0.001,5.0,15,-0.23422402448589932,-0.6896672113899578,0.2398361009855542,0.4727903874713109,-0.0002950904255784045,0.008567526798763945
baseline_last,long_flat,0.001,5.0,15,-0.1755154048482811,-0.7299594465121052,0.18280896449304712,0.3480765222087215,-0.00024339393515330818,0.007067064813241813
baseline_last,long_flat,0.0005,5.0,15,-0.1888473385154816,-0.7522105087745624,0.19006566761171864,0.364408586472256,-0.0002628503391399603,0.007153801771767247
ridge,long_flat,0.002,5.0,15,-0.2503060735226233,-0.7717398314265298,0.22705532604293235,0.44736217091940056,-0.0003229045837170392,0.008352881938606293
baseline_last,long_flat,0.0,5.0,15,-0.1968594431508914,-0.8113427353132615,0.19497324152828405,0.37735423248278654,-0.0002833454302952151,0.007198049524172339
ridge,long_flat,0.003,5.0,15,-0.26592536725394894,-0.8297437555060402,0.21488602673147023,0.4239067368705279,-0.00034705075207706974,0.0080811201173332
ridge,long_flat,0.005,5.0,15,-0.29349257350672897,-0.9778279600424055,0.19169439719184556,0.37930843796408803,-0.0003979815042196383,0.007669677599488919
baseline_zero,long_flat,0.0,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
baseline_zero,long_flat,0.0005,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
baseline_zero,long_flat,0.001,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
baseline_zero,long_flat,0.002,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
baseline_zero,long_flat,0.003,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
baseline_zero,long_flat,0.005,5.0,15,0.0,,0.00801944106925881,0.0,0.0,0.0
rf,long_short,0.005,5.0,15,0.03282948049756666,0.022680149468164323,0.04175731065208586,0.06694526798973945,1.4446849641017742e-05,0.003346905669145349
rf,long_short,0.003,5.0,15,-0.05481652782234998,-0.32615210948709905,0.10487619819090051,0.20177237748076143,-9.50089216755562e-05,0.005641987600891739
knn,long_short,0.005,5.0,15,-0.13347396524316651,-0.42256219246277504,0.074805616308897,0.13284547050087755,-0.00018764249039577793,0.004806106702483964
rf,long_short,0.0005,5.0,15,-0.24201487209446032,-0.6180825561454092,0.39820683137572566,0.8080926150938301,-0.0004349826559923317,0.011069870580103756
mlp,long_short,0.0,5.0,15,-0.31775911871227547,-0.6268974717579875,0.49025511003105177,1.0,-0.00043059519885658135,0.012222430993817037
rf,long_short,0.002,5.0,15,-0.18648557292244172,-0.6338531936731896,0.1810038612123667,0.3635582557040637,-0.00025866679702239763,0.007455345812034176
rf,long_short,0.0,5.0,15,-0.259876924774901,-0.6513070586609336,0.4875848251653841,1.0,-0.0005188437682202228,0.012203985128579509
mlp,long_short,0.0005,5.0,15,-0.3381986036079001,-0.6703844699160341,0.47962489536924535,0.9792334818415013,-0.00045934102446045254,0.012071025139913706
mlp,long_short,0.001,5.0,15,-0.32978854784735684,-0.6710111875935644,0.4692979073849062,0.9579078169299311,-0.00044512313110796114,0.011958036113399345
mlp,long_short,0.002,5.0,15,-0.30950845728357745,-0.7083160379851724,0.4494539759686783,0.9177805319292561,-0.0004436955762687137,0.01168594226392032
mlp,long_short,0.003,5.0,15,-0.3065590309897753,-0.7097507362327231,0.4309269069798839,0.8784761981909005,-0.0004263898714115014,0.011417211943123584
rf,long_short,0.001,5.0,15,-0.25199756765684855,-0.7242248088144515,0.30900375320642637,0.6310427433508843,-0.0004141120238407061,0.00981946290883915
mlp,long_short,0.005,5.0,15,-0.29398189443037487,-0.7436362623051738,0.3932405022276225,0.7993062238423113,-0.0004162647383426549,0.01073546559530871
knn,long_short,0.0,5.0,15,-0.4320424240078676,-0.8540450597354717,0.48514464695558257,1.0,-0.000653827942237362,0.012233629761961582
knn,long_short,0.001,5.0,15,-0.4069477815300822,-0.8844430016032517,0.36093975968678277,0.7328703118671527,-0.0006004360625358719,0.010933119261936668
