target,n_valid,mean,std,pos_ratio,neg_ratio,zero_ratio
y_BTC-USD,1805,0.0009346113657441722,0.030186598773608398,0.4969529085872576,0.5030470914127424,0.0
y_GLD,991,0.0008257250420941282,0.010576705902315407,0.5428859737638748,0.45610494450050454,0.0010090817356205853
y_TLT,991,0.0002839809643422279,0.009957527076167599,0.5146316851664985,0.48234106962663975,0.0030272452068617556
y_UUP,991,0.00015230251005816966,0.004580602274537166,0.5176589303733602,0.44601412714429867,0.03632694248234107
y_XLB,991,0.0005320986000283205,0.012248425200807782,0.520686175580222,0.47426841574167505,0.005045408678102927
y_XLC,991,0.0004888327949035201,0.01352651397112826,0.5277497477295661,0.4651866801210898,0.007063572149344097
y_XLE,991,0.0010595190458911857,0.016349059644948614,0.5519677093844602,0.4429868819374369,0.005045408678102927
y_XLF,991,0.0006672946388741781,0.012081862622604328,0.5267406659939455,0.46215943491422806,0.011099899091826439
y_XLI,991,0.0006419037509563635,0.011164323431795395,0.5307769929364279,0.4661957618567104,0.0030272452068617556
y_XLK,991,0.0007004596074113018,0.015989162605895786,0.5408678102926338,0.4581231079717457,0.0010090817356205853
y_XLP,991,0.0003292426142711241,0.008438513746745415,0.5257315842583249,0.4661957618567104,0.008072653884964682
y_XLRE,991,0.0005204516372394256,0.012196045876949845,0.5196770938446014,0.46417759838546924,0.016145307769929364
y_XLU,991,0.0006885138485530835,0.010829128365983697,0.5277497477295661,0.4611503531786075,0.011099899091826439
y_XLV,991,0.0003698070752108559,0.009298710748560765,0.5216952573158425,0.47628657921291623,0.0020181634712411706
y_XLY,991,0.0002732078391204174,0.015282656431501734,0.5216952573158425,0.47628657921291623,0.0020181634712411706
